zip,ruca,population,median_household_income,within_10_miles_count
2769,Suburban,"12,434","$115,156",4.0
2770,Suburban,"5,702","$110,959",2.0
2771,Urban,"15,339","$100,041",5.0
2777,Urban,"17,020","$101,703",3.0
2779,Urban,"6,724","$110,518",2.0
2780,Urban,"51,911","$63,524",2.0
2790,Urban,"16,237","$85,470",2.0
2791,Suburban,361,"$90,543",1.0
2802,Urban,501,"$105,694",3.0
2804,Suburban,"2,456","$111,014",1.0
2806,Urban,"17,201","$130,455",5.0
2807,Rural,"1,007","$72,279",0.0
2808,Urban,"2,432","$67,480",1.0
2809,Urban,"22,305","$80,727",4.0
2812,Suburban,"1,043","$111,279",1.0
2813,Suburban,"8,012","$86,023",1.0
2814,Suburban,"7,638","$93,060",0.0
2815,Suburban,155,,2.0
2816,Urban,"32,348","$86,981",2.0
2817,Suburban,"6,500","$126,402",1.0
2818,Urban,"19,814","$109,796",4.0
2822,Suburban,"6,155","$84,018",2.0
2823,Urban,25,,4.0
2824,Urban,140,,1.0
2825,Suburban,"5,771","$97,651",0.0
2826,Urban,589,"$68,471",1.0
2827,Suburban,"2,357","$90,192",1.0
2828,Urban,"7,331","$82,414",3.0
2829,Urban,152,,3.0
2830,Urban,"6,377","$107,033",1.0
2831,Urban,"4,201","$121,250",4.0
2832,Suburban,"4,901","$96,951",0.0
2833,Suburban,782,"$33,547",1.0
2835,Urban,"5,531","$120,129",2.0
2836,Suburban,95,,0.0
2837,Suburban,"3,600","$96,111",1.0
2838,Urban,"3,645","$59,883",3.0
2839,Urban,"1,313","$78,477",1.0
2840,Urban,"23,460","$77,042",1.0
2841,Urban,"1,862",,1.0
2842,Urban,"16,983","$88,211",1.0
2852,Urban,"22,979","$96,100",3.0
2857,Suburban,"7,992","$104,617",1.0
2858,Urban,622,"$111,250",1.0
2859,Urban,"7,401","$103,218",1.0
2860,Urban,"48,092","$49,357",6.0
2861,Urban,"27,128","$73,285",4.0
2863,Urban,"22,192","$40,235",5.0
2864,Urban,"36,053","$104,975",3.0
2865,Urban,"18,269","$103,934",4.0
2871,Urban,"17,674","$104,677",1.0
2872,Urban,128,,1.0
2873,Suburban,72,,0.0
2874,Urban,"6,615","$124,471",2.0
2875,Suburban,305,"$87,800",0.0
2876,Urban,782,"$30,513",1.0
2878,Urban,"16,287","$85,522",2.0
2879,Urban,"22,325","$102,397",0.0
2881,Urban,"6,844","$72,466",1.0
2882,Urban,"13,574","$83,502",0.0
2885,Urban,"11,166","$75,755",4.0
2886,Urban,"29,991","$75,404",5.0
2888,Urban,"18,398","$78,269",5.0
2889,Urban,"28,433","$79,274",5.0
2891,Urban,"21,998","$82,331",1.0
2892,Suburban,"6,144","$118,542",1.0
2893,Urban,"30,823","$62,649",5.0
2894,Suburban,555,"$71,813",1.0
2895,Urban,"43,177","$48,882",1.0
2896,Urban,"11,499","$95,595",1.0
2898,Suburban,"1,441","$86,122",0.0
2903,Urban,"12,450","$50,966",6.0
2904,Urban,"31,494","$56,139",6.0
2905,Urban,"26,569","$45,594",5.0
2906,Urban,"26,299","$93,341",6.0
2907,Urban,"31,705","$39,522",5.0
2908,Urban,"38,977","$63,775",6.0
2909,Urban,"42,021","$52,232",6.0
2910,Urban,"22,469","$77,951",5.0
2911,Urban,"16,151","$69,306",7.0
2912,Urban,"4,247",,6.0
2914,Urban,"21,966","$51,513",7.0
2915,Urban,"15,912","$76,385",6.0
2916,Urban,"9,293","$85,025",5.0
2917,Urban,"14,595","$92,440",2.0
2918,Urban,"2,934",,6.0
2919,Urban,"29,473","$76,592",4.0
2921,Urban,"12,384","$112,767",5.0
2920,Urban,"37,389","$68,794",6.0
3031,Urban,"11,744","$142,083",1.0
3032,Suburban,"5,852","$127,330",3.0
3033,Suburban,"5,591","$150,893",1.0
3034,Suburban,"4,166","$106,868",1.0
3036,Suburban,"5,198","$131,635",1.0
3037,Suburban,"4,664","$111,833",0.0
3038,Urban,"34,371","$84,819",2.0
3042,Suburban,"7,077","$88,671",1.0
3043,Rural,"1,542","$99,185",0.0
3044,Suburban,"4,680","$116,944",1.0
3045,Urban,"13,824","$100,751",2.0
3046,Suburban,"3,006","$136,548",1.0
3047,Suburban,"1,789","$89,179",0.0
3048,Suburban,"3,468","$80,761",0.0
3049,Suburban,"8,324","$144,514",2.0
3051,Urban,"25,314","$112,285",2.0
3052,Urban,"8,467","$122,139",4.0
3053,Urban,"25,534","$116,996",3.0
3054,Urban,"26,730","$114,562",3.0
3055,Urban,"16,041","$82,990",1.0
3057,Suburban,"2,584","$134,356",1.0
3060,Urban,"31,039","$58,434",2.0
3062,Urban,"28,562","$95,279",2.0
3063,Urban,"16,289","$93,876",2.0
3064,Urban,"14,769","$69,637",2.0
3070,Suburban,"6,051","$122,292",0.0
3071,Rural,"5,217","$81,958",0.0
3076,Urban,"14,099","$111,333",5.0
3077,Urban,"10,670","$82,521",1.0
3079,Urban,"30,158","$91,276",3.0
3082,Suburban,"1,628","$94,000",0.0
3084,Rural,"1,257","$88,056",0.0
3086,Urban,"4,096","$83,477",1.0
3087,Urban,"15,587","$167,641",4.0
3101,Urban,"3,114","$58,802",3.0
3102,Urban,"33,924","$60,103",2.0
3103,Urban,"37,602","$61,743",3.0
3104,Urban,"34,557","$73,574",2.0
3106,Urban,"14,732","$88,638",2.0
3109,Urban,"10,023","$87,540",3.0
3110,Urban,"23,157","$143,119",3.0
3215,Rural,198,"$83,281",0.0
3216,Rural,"2,420","$81,333",0.0
3217,Suburban,"2,365","$48,509",1.0
3218,Suburban,"1,411","$81,335",0.0
3220,Suburban,"7,424","$67,697",2.0
3221,Rural,"2,142","$88,000",0.0
3222,Rural,"5,992","$70,000",0.0
3223,Rural,"3,382","$73,919",1.0
3224,Suburban,"2,233","$102,750",2.0
3225,Suburban,"3,491","$75,202",0.0
