ruca,great_circle_distance,origin,destination
Rural,51.2359158867199,"39.158746,-105.816986","39.636505,-105.083076"
Rural,88.13018717270711,"45.672311,-88.530545","44.433029,-88.103183"
Rural,65.8546617323709,"41.8303,-90.83959","42.735909,-90.43788"
Rural,55.41112058262826,"42.680906,-74.76529","42.212645,-73.882953"
Rural,49.85511183213357,"47.00795,-117.14101","47.699453,-117.445226"
Rural,35.61239466654386,"40.960075,-98.902302","40.6242,-98.385897"
Rural,64.67677974419149,"34.055486,-93.189406","34.043501,-94.319091"
Rural,54.40748294491131,"33.320818,-83.355865","33.553078,-84.257514"
Rural,36.62022454018504,"29.188034,-82.991541","28.891298,-82.489235"
Rural,71.13679699928683,"39.538568,-79.190791","38.662469,-78.493888"
Rural,51.003214904516994,"35.414902,-101.176661","34.998062,-101.922275"
Rural,54.84870595077314,"43.937319,-104.620856","44.480316,-103.812985"
Rural,62.328419004011515,"37.63791,-119.694652","36.736072,-119.721365"
Rural,21.937688115687067,"44.253427,-94.903534","44.54305,-95.085641"
Rural,82.8253097915649,"38.47362,-99.44205","37.986189,-100.836248"
Rural,89.49434933697192,"42.980309,-93.872724","41.687183,-93.772041"
Rural,72.72345031443571,"33.87927,-97.42919","32.959246,-96.816633"
Rural,79.33870809279165,"39.960927,-95.967077","39.019865,-96.819727"
Rural,88.7762198087987,"37.51569,-75.8066","37.179483,-77.366564"
Rural,69.25320249641752,"44.046063,-101.630722","44.380799,-100.312571"
Rural,19.98134601375082,"43.90923,-72.26315","43.623467,-72.324645"
Rural,50.78793581043564,"37.42417,-88.898049","36.720973,-88.629732"
Rural,15.834667914654986,"43.080334,-112.672955","42.909839,-112.46357"
Rural,71.52479727097699,"37.026243,-96.178281","36.00364,-95.978029"
Rural,67.83570857210474,"43.473341,-71.762339","42.49183,-71.729951"
Rural,39.8479727372593,"44.574478,-86.07937","44.281248,-85.383951"
Rural,75.71074773648357,"39.77859,-87.687638","39.696995,-86.266605"
Rural,69.18033169119178,"37.32467,-119.56625","36.341424,-119.330028"
Rural,57.69088818543254,"33.79344,-97.14307","32.981055,-96.912058"
Rural,39.763382061910725,"42.714065,-74.890929","42.964431,-74.184238"
Rural,42.7671303719032,"32.75702,-107.26447","32.315055,-106.750435"
Rural,80.92568609959118,"36.982776,-79.548523","36.021081,-80.38026"
Rural,58.48188018610429,"42.606993,-74.732401","43.078407,-75.691179"
Rural,78.04756077516554,"41.73322,-120.3719","42.192994,-121.759535"
