zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
67114,Urban,Newton,Kansas,"20,674",Harvey,"$59,837",38.044857,-97.317279
67117,Urban,North Newton,Kansas,"1,959",Harvey,"$79,545",38.07223,-97.34559
67118,Suburban,Norwich,Kansas,738,Kingman,"$52,986",37.45724,-97.84894
67119,Suburban,Oxford,Kansas,"1,298",Sumner,"$45,774",37.231595,-97.212224
67120,Suburban,Peck,Kansas,763,Sumner,"$115,185",37.50541,-97.340797
67122,Suburban,Piedmont,Kansas,259,Greenwood,"$93,036",37.62364,-96.36556
67123,Suburban,Potwin,Kansas,857,Butler,"$47,875",37.937595,-97.038364
67124,Suburban,Pratt,Kansas,"7,896",Pratt,"$58,387",37.63857,-98.758512
67127,Rural,Protection,Kansas,707,Comanche,"$61,875",37.200135,-99.482888
67131,Suburban,Rock,Kansas,265,Cowley,"$68,333",37.441278,-97.005906
67132,Rural,Rosalia,Kansas,332,Butler,"$97,292",37.8153,-96.61974
67133,Suburban,Rose Hill,Kansas,"6,574",Butler,"$88,403",37.56297,-97.090019
67134,Suburban,Sawyer,Kansas,422,Pratt,"$55,625",37.509541,-98.647923
67135,Suburban,Sedgwick,Kansas,"3,531",Harvey,"$73,494",37.91668,-97.42254
67137,Suburban,Severy,Kansas,376,Greenwood,"$52,250",37.61705,-96.225157
67138,Rural,Sharon,Kansas,470,Barber,"$49,590",37.224446,-98.42233
67140,Rural,South Haven,Kansas,"1,056",Sumner,"$42,361",37.136607,-97.329247
67142,Rural,Spivey,Kansas,352,Kingman,"$66,750",37.491201,-98.209956
67143,Rural,Sun City,Kansas,158,Barber,,37.341823,-98.963403
67144,Suburban,Towanda,Kansas,"2,665",Butler,"$70,441",37.79752,-96.99976
67146,Suburban,Udall,Kansas,"2,068",Cowley,"$72,212",37.387823,-97.117926
67147,Urban,Valley Center,Kansas,"10,864",Sedgwick,"$73,484",37.845078,-97.335537
67149,Suburban,Viola,Kansas,"1,252",Sedgwick,"$96,961",37.48307,-97.64394
67150,Rural,Waldron,Kansas,11,Harper,,37.00225,-98.18257
67151,Urban,Walton,Kansas,503,Harvey,"$45,729",38.123189,-97.244464
67152,Suburban,Wellington,Kansas,"8,937",Sumner,"$51,667",37.280877,-97.42223
67154,Suburban,Whitewater,Kansas,"2,290",Butler,"$51,833",37.977983,-97.088361
67155,Rural,Wilmore,Kansas,100,Comanche,"$83,636",37.33586,-99.21011
67156,Urban,Winfield,Kansas,"14,476",Cowley,"$51,890",37.232126,-96.996334
67159,Rural,Zenda,Kansas,141,Kingman,"$66,458",37.449631,-98.3057
67202,Urban,Wichita,Kansas,"1,926",Sedgwick,"$44,309",37.686189,-97.334713
67203,Urban,Wichita,Kansas,"30,771",Sedgwick,"$44,779",37.700763,-97.365701
67204,Urban,Wichita,Kansas,"22,188",Sedgwick,"$61,029",37.787925,-97.381233
67205,Urban,Wichita,Kansas,"20,642",Sedgwick,"$105,649",37.749473,-97.423461
67206,Urban,Wichita,Kansas,"17,598",Sedgwick,"$79,837",37.704071,-97.225463
67207,Urban,Wichita,Kansas,"26,836",Sedgwick,"$60,921",37.671048,-97.217907
67208,Urban,Wichita,Kansas,"17,640",Sedgwick,"$56,270",37.703847,-97.279267
67209,Urban,Wichita,Kansas,"13,756",Sedgwick,"$77,852",37.666579,-97.435012
67210,Urban,Wichita,Kansas,"9,233",Sedgwick,"$51,953",37.63026,-97.246498
67211,Urban,Wichita,Kansas,"19,854",Sedgwick,"$38,708",37.661,-97.312573
67212,Urban,Wichita,Kansas,"44,128",Sedgwick,"$60,578",37.701795,-97.435443
67213,Urban,Wichita,Kansas,"21,881",Sedgwick,"$40,889",37.668005,-97.36497
67214,Urban,Wichita,Kansas,"16,726",Sedgwick,"$29,632",37.706143,-97.319593
67215,Urban,Wichita,Kansas,"5,771",Sedgwick,"$91,914",37.626635,-97.425673
67216,Urban,Wichita,Kansas,"21,498",Sedgwick,"$41,660",37.605237,-97.314573
67217,Urban,Wichita,Kansas,"31,016",Sedgwick,"$50,000",37.643576,-97.392906
67218,Urban,Wichita,Kansas,"22,922",Sedgwick,"$42,953",37.668282,-97.280784
67219,Urban,Wichita,Kansas,"12,133",Sedgwick,"$61,590",37.771478,-97.318704
67220,Urban,Wichita,Kansas,"13,682",Sedgwick,"$69,894",37.766663,-97.280524
67221,Urban,Mcconnell Afb,Kansas,351,Sedgwick,,37.692236,-97.337545
67223,Urban,Wichita,Kansas,595,Sedgwick,"$111,786",37.73674,-97.499
67226,Urban,Wichita,Kansas,"21,603",Sedgwick,"$78,349",37.774074,-97.212044
67227,Urban,Wichita,Kansas,226,Sedgwick,"$105,750",37.62812,-97.491566
67228,Urban,Wichita,Kansas,"2,718",Sedgwick,"$163,068",37.774174,-97.171098
67230,Urban,Wichita,Kansas,"11,422",Sedgwick,"$132,664",37.679502,-97.171332
67232,Urban,Wichita,Kansas,625,Sedgwick,"$2,499",37.639491,-97.171372
67235,Urban,Wichita,Kansas,"14,967",Sedgwick,"$106,401",37.714891,-97.499024
67260,Urban,Wichita,Kansas,0,Sedgwick,,37.719376,-97.293576
67301,Suburban,Independence,Kansas,"12,793",Montgomery,"$50,031",37.180636,-95.756197
67330,Suburban,Altamont,Kansas,"1,556",Labette,"$64,648",37.19034,-95.29719
67332,Rural,Bartlett,Kansas,167,Labette,"$48,750",37.045463,-95.229916
67333,Rural,Caney,Kansas,"2,361",Montgomery,"$57,813",37.048046,-95.884949
67334,Rural,Chautauqua,Kansas,79,Chautauqua,,37.026243,-96.178281
67335,Rural,Cherryvale,Kansas,"3,523",Montgomery,"$47,750",37.27034,-95.55248
67336,Rural,Chetopa,Kansas,"1,397",Cherokee,"$28,646",37.03729,-95.08996
67337,Urban,Coffeyville,Kansas,"11,266",Montgomery,"$43,523",37.0373,-95.61637
67340,Suburban,Dearing,Kansas,390,Montgomery,"$58,468",37.05869,-95.71331
67341,Suburban,Dennis,Kansas,436,Labette,"$78,882",37.34701,-95.41275
67342,Rural,Edna,Kansas,720,Labette,"$49,256",37.071835,-95.347225
67344,Suburban,Elk City,Kansas,787,Montgomery,"$46,528",37.288869,-95.908001
67345,Rural,Elk Falls,Kansas,103,Elk,"$66,250",37.36726,-96.1886
67346,Rural,Grenola,Kansas,364,Elk,"$63,472",37.406927,-96.384362
67347,Suburban,Havana,Kansas,515,Montgomery,"$75,313",37.092548,-95.94175
67349,Rural,Howard,Kansas,809,Elk,"$56,250",37.419933,-96.278611
67351,Suburban,Liberty,Kansas,298,Montgomery,"$77,778",37.15563,-95.5947
67352,Rural,Longton,Kansas,634,Elk,"$41,319",37.374756,-96.13358
