origin,destination,ruca,great_circle_distance,travel_time
"41.257745,-90.38778","41.763583,-89.687016",Rural,50.35920649841598,63
"32.796088,-79.960493","33.008028,-80.047231",Urban,15.48402966435378,26
"42.708262,-97.161919","43.603284,-96.789711",Rural,64.62301448759563,86
"33.136658,-86.883586","32.818374,-86.607647",Urban,27.19225646127144,41
"41.677046,-86.216105","41.447727,-85.224116",Urban,53.67533586267052,88
"47.847735,-119.525987","47.842507,-119.987897",Rural,21.42231213670872,44
"38.303859,-83.886328","39.346448,-82.970837",Rural,87.2777683858626,140
"40.69534,-80.30478","41.157701,-81.300226",Urban,60.999371997749336,77
"41.55726,-87.6656","42.245496,-88.286814",Urban,57.28682693378395,82
"44.75984,-89.039052","44.175178,-88.49266",Rural,48.5560377134436,69
"39.792379,-86.287465","39.661539,-86.145198",Urban,11.78468336851377,23
"39.110994,-84.659396","39.711039,-86.119178",Urban,88.26732751312728,102
"37.458837,-75.900724","36.295738,-76.298161",Rural,83.31022798825441,108
"43.601018,-70.902676","42.554438,-70.968218",Suburban,72.3873995475095,93
"45.249382,-89.032136","45.073924,-87.656113",Suburban,68.1240592560631,90
"28.853312,-80.993118","28.929816,-82.030877",Urban,62.99987598450512,115
"33.485903,-117.696366","34.281962,-118.791349",Suburban,83.48559136509753,116
"36.934169,-79.682503","37.805918,-79.409812",Suburban,62.065345953620685,103
"43.71002,-82.93161","43.661325,-84.238103",Rural,65.36385626853787,87
"27.899181,-98.614928","27.491332,-97.853554",Rural,54.439623711892,67
"37.011357,-83.4553","36.190611,-83.357156",Rural,56.968843583017474,130
"42.141856,-94.503538","41.646847,-93.504922",Rural,61.70552973275776,88
"36.924048,-76.288625","37.061658,-76.465158",Urban,13.612830551679856,25
"42.79781,-83.70495","42.913043,-83.979358",Urban,16.017795940022516,28
"35.801341,-78.816564","36.067592,-80.336788",Urban,87.0134793262184,102
"45.955223,-91.278308","44.883734,-91.419523",Rural,74.3488993535711,105
"34.893744,-89.564928","34.962776,-90.063902",Suburban,28.665244102099837,44
"37.322088,-88.087479","36.865615,-89.581571",Suburban,88.17498140330113,125
"35.27008,-91.63986","35.072522,-92.496181",Suburban,50.25351382393083,69
"42.980309,-93.872724","41.687183,-93.772041",Rural,89.49434933697192,118
"34.980316,-81.916778","35.121694,-81.085017",Urban,48.0498930586177,70
"35.858018,-84.119383","36.169752,-84.087105",Urban,21.61417990859455,39
"42.094616,-72.487229","43.377971,-72.328907",Urban,89.03459575960007,116
"42.099322,-73.576102","41.158788,-73.418124",Suburban,65.49482799365023,107
"30.45104,-91.138455","30.791444,-89.864806",Urban,79.29699354272356,105
"28.88331,-97.71305","29.358818,-98.634749",Rural,64.60986842563581,87
"37.66927,-82.12208","37.658671,-82.271664",Suburban,8.21419056086686,24
"39.894917,-80.980056","39.486941,-79.733669",Suburban,72.01252207329077,144
"37.832075,-121.916718","38.595884,-121.291214",Urban,62.75448481145701,100
"41.66563,-70.16604","41.78808,-71.49851",Urban,69.22866123872508,99
"38.024609,-92.744846","37.938696,-91.77748",Rural,53.015847757475406,75
"45.871169,-95.237474","44.950727,-95.689617",Suburban,67.27140681411835,93
"39.251684,-88.510776","38.663131,-87.504319",Suburban,67.65828136542298,102
"40.858692,-73.930999","41.818547,-73.07798",Urban,79.72672078458594,113
"40.100513,-82.612389","39.927135,-83.120042",Suburban,29.41378311954811,41
"37.048401,-96.07768","37.814658,-96.892045",Rural,69.27674627518844,106
"47.710353,-93.612694","47.201771,-93.526986",Rural,35.36705757487468,56
"43.083854,-95.625042","42.4343,-96.363804",Rural,58.46936738065766,73
"38.803299,-90.20651","37.924748,-89.806894",Urban,64.44691500330885,95
"44.755693,-88.289822","45.80811,-88.046546",Rural,73.67052188803946,100
"35.675767,-88.412139","34.74504,-89.484963",Suburban,88.33496405661155,123
"25.861514,-80.270854","25.881303,-80.352801",Urban,5.2748175169317895,19
"42.613957,-115.841917","42.590107,-114.483067",Rural,69.12703246407565,122
"35.801894,-80.210762","35.200766,-80.727319",Suburban,50.688204741835605,63
"40.67205,-74.49488","39.936065,-75.052286",Urban,58.724014877285455,88
"36.817164,-83.419056","36.187943,-82.372957",Rural,72.56397634140764,123
"37.626146,-112.083565","36.905494,-111.487003",Rural,59.626144456620914,162
"41.585185,-87.496665","41.27155,-85.85658",Urban,87.6831390201894,110
"40.114729,-84.493439","39.875735,-83.0427",Suburban,78.54537529224565,96
"41.624388,-80.452295","40.900606,-81.160876",Rural,62.08992679035614,94
"34.835378,-95.838039","35.086966,-96.321015",Suburban,32.405316953790795,48
