origin,destination,ruca,great_circle_distance,driving_time,driving_distance
"47.09676,-122.63124","47.193987,-122.516947",Urban,8.600912568891607,20.0,10.433440461
"40.043967,-76.108543","40.167202,-76.15271",Suburban,8.828845534265426,20.0,10.212853756
"41.104355,-81.535089","41.166067,-81.479326",Urban,5.1576458037082595,14.0,7.327828202999999
"40.696661,-74.081135","40.659995,-74.106691",Urban,2.86552484625515,9.0,4.266954657
"40.967155,-81.021052","40.900606,-81.160876",Urban,8.626154226695757,18.0,12.066403449000001
"38.529903,-90.46737","38.580587,-90.327761",Urban,8.31653727642143,18.0,11.719057059999999
"40.856793,-73.208278","40.863001,-73.081217",Urban,6.653558781697396,19.0,7.082386658
"37.561682,-121.249449","37.462647,-121.142481",Rural,9.01063493766381,16.0,10.517946917
"40.346629,-74.125401","40.207057,-74.081251",Urban,9.920359564085455,15.0,12.759232114
"38.91506,-76.073905","38.772879,-76.055557",Suburban,9.873267167061512,15.0,10.748475557999999
"33.448733,-111.769015","33.380367,-111.803553",Urban,5.126447599238818,14.0,6.950656006
"36.230696,-83.554826","36.128671,-83.467713",Suburban,8.56125552993318,25.0,15.460331851000001
"44.128325,-93.978863","44.16705,-93.947638",Urban,3.0912087217397985,10.0,4.77212928
"32.443173,-93.787826","32.485486,-93.708395",Urban,5.476192819959732,17.0,9.412527908
"37.328119,-95.71697","37.222425,-95.743132",Suburban,7.443068181296467,15.0,9.748068248000001
"39.45733,-75.66132","39.445799,-75.737667",Suburban,4.150399894024526,12.0,4.35581071
"41.228102,-74.477351","41.106968,-74.581488",Suburban,9.969324486272503,20.0,11.041141299
"39.893845,-85.013775","39.826685,-84.853298",Suburban,9.693953620862894,18.0,14.472351961000001
"40.013871,-83.83325","39.95306,-83.828478",Suburban,4.209228492122539,10.0,5.028755503
"37.822695,-81.265887","37.805492,-81.176898",Urban,5.0006980601305475,19.0,8.929722641
"40.742772,-73.758831","40.743341,-73.600756",Urban,8.275037509141194,19.0,12.137239743
"34.813634,-79.97756","34.699625,-79.933667",Suburban,8.261936412982893,12.0,9.90465374
"38.106329,-87.524939","38.002576,-87.575665",Urban,7.6815361059347556,19.0,9.972383179
"33.3481,-112.67739","33.43711,-112.559808",Suburban,9.155961703229709,17.0,13.104093018999999
"29.771545,-95.411083","29.67649,-95.457765",Urban,7.140036843092403,17.0,11.403400592
"30.511926,-88.27264","30.56366,-88.213192",Urban,5.029162698800919,14.0,7.285574975
"32.663043,-79.92697","32.72053,-79.96767",Urban,4.623583059731059,11.0,5.904267242
"35.460696,-89.93429","35.357673,-89.897723",Suburban,7.410081688965135,17.0,10.618609018999999
"35.2526,-95.23747","35.266094,-95.061902",Suburban,9.948986139457018,14.0,10.61923039
"34.110859,-85.590218","34.162485,-85.713026",Suburban,7.877143107578085,13.0,9.549850899
"36.146741,-95.90447","36.045264,-95.849139",Urban,7.661737526026459,15.0,9.416877505
"44.068284,-72.118739","44.140959,-72.024679",Rural,6.855074255296733,17.0,10.767738059000001
"41.416747,-72.906096","41.320723,-72.876675",Urban,6.8077599136822435,14.0,8.591696817
"42.91057,-87.86064","42.984029,-87.950206",Urban,6.802952535784109,19.0,10.910653389
"44.212814,-71.737162","44.304641,-71.798585",Rural,7.035119961990195,14.0,10.391187233
"41.40805,-92.91631","41.412726,-92.933578",Suburban,0.9513575117593112,3.0,1.076214572
"42.655569,-74.337322","42.682171,-74.455423",Suburban,6.27512920698813,13.0,8.042404852999999
"27.900707,-81.58445","27.976857,-81.646455",Urban,6.481344810989347,15.0,7.950441945
"41.678378,-71.2704","41.79534,-71.325146",Urban,8.560057248707396,22.0,10.809369916000001
"39.771506,-75.799761","39.860924,-75.689619",Urban,8.505169751759825,19.0,13.125219633
"42.176544,-71.681912","42.23337,-71.791556",Urban,6.848835067245047,15.0,9.47590775
"40.101109,-75.17802","40.158903,-75.138841",Urban,4.497703815372177,12.0,5.345654713
"32.149861,-81.372184","32.14319,-81.243727",Suburban,7.528948418411465,17.0,10.044462215
"47.405479,-122.195772","47.301664,-122.240861",Urban,7.476995153215763,18.0,11.171629208999999
"31.932883,-110.895188","31.911343,-110.981682",Suburban,5.286204660338366,19.0,10.422255783
"39.93282,-89.06203","39.899809,-88.951969",Suburban,6.26262136534134,11.0,8.135610503
"43.71011,-87.735217","43.715136,-87.755227",Urban,1.0579515463242564,6.0,2.031261799
"36.80534,-93.46658","36.70188,-93.369626",Rural,8.939076382615617,19.0,12.655463157
"36.345971,-105.68471","36.387562,-105.586088",Urban,6.193954621909367,13.0,7.198583035
"35.800198,-78.10562","35.733926,-77.949593",Suburban,9.873255720705592,19.0,11.768145369
"34.925105,-80.72775","35.010885,-80.849398",Urban,9.086700209623116,23.0,13.604296673999999
"47.672498,-122.707982","47.624833,-122.632657",Urban,4.810292779672803,12.0,7.0519394790000005
"27.471256,-82.682262","27.523348,-82.559392",Urban,8.346395859962747,25.0,12.000538123
"34.36975,-92.839331","34.390746,-92.83268",Suburban,1.4994426807572996,8.0,1.776499689
"38.905693,-95.729868","38.998484,-95.694243",Suburban,6.690909346162382,11.0,7.642241929
"36.51384,-119.55402","36.577455,-119.633985",Suburban,6.246735256348505,10.0,6.529987839
"40.796446,-97.773811","40.827846,-97.593898",Suburban,9.655237811849908,18.0,11.399050995
"33.546383,-101.856516","33.516738,-101.955456",Urban,6.055390967684005,15.0,9.08444402
"41.307197,-72.865365","41.320723,-72.876675",Urban,1.103587272738308,8.0,2.287266651
"41.1667,-87.66282","41.190429,-87.847122",Suburban,9.723646127290854,14.0,11.498470355
"40.18396,-81.89097","40.295124,-81.850335",Suburban,7.974110195745561,13.0,8.986888773
"40.81911,-84.93785","40.810319,-84.937417",Urban,0.6078221485858015,1.0,0.617021403
"35.715972,-78.747741","35.59435,-78.780868",Urban,8.606621091804808,20.0,11.275398166
"32.516507,-94.32511","32.557755,-94.349863",Urban,3.1939284626640823,6.0,3.664846158
"28.855051,-81.678843","28.819241,-81.672581",Urban,2.50309603328669,10.0,3.731332855
"40.628937,-97.016925","40.640626,-96.940129",Suburban,4.106866444391905,10.0,5.080950667
"40.633157,-73.996953","40.750422,-73.996328",Urban,8.10230626087677,37.0,11.013800975
"38.299699,-85.648691","38.319032,-85.818811",Urban,9.31943257101919,25.0,18.046477953
"29.86715,-89.85868","29.934418,-89.923358",Urban,6.050581162987684,10.0,6.661097120000001
"39.331202,-80.332455","39.263396,-80.286179",Urban,5.298219753648216,20.0,10.546529983
"37.337159,-87.271176","37.282329,-87.130915",Suburban,8.588686062118715,15.0,11.061646542
"39.325714,-84.55239","39.426595,-84.600149",Urban,7.422281499459404,23.0,9.03473434
"37.501495,-77.271789","37.613934,-77.355421",Urban,9.018743866062302,14.0,11.498470355
"33.938108,-118.285706","33.854065,-118.299217",Urban,5.858290121533697,11.0,6.849993904
"35.952564,-79.636747","36.002269,-79.799749",Suburban,9.739624476873338,17.0,12.143453453
"47.80153,-119.9859","47.842507,-119.987897",Suburban,2.832756501491226,8.0,4.0712227919999995
"42.377454,-76.77621","42.380777,-76.863372",Rural,4.454615513054764,19.0,10.795699754
"38.559864,-78.512018","38.662469,-78.493888",Rural,7.156585425258901,20.0,10.790728786
"44.932465,-93.087967","44.896676,-93.077997",Urban,2.52044352605326,9.0,2.936599346
"40.838729,-73.921605","40.81411,-74.013489",Urban,5.096192848141423,22.0,8.049239934000001
"33.58426,-102.16323","33.589024,-102.171787",Suburban,0.5923927402882041,1.0,0.9103085150000001
"30.71741,-91.1415","30.650443,-91.142257",Suburban,4.627197808918622,10.0,5.338198261
"45.237661,-93.272428","45.156514,-93.159563",Urban,7.8506262999711725,18.0,11.351205428
"40.096406,-79.090158","40.051574,-79.070594",Suburban,3.2657357106481935,7.0,4.292430868
"35.08753,-89.792638","35.022135,-89.830238",Urban,4.99382528556674,15.0,6.829488661
"33.42362,-117.606843","33.455687,-117.606101",Suburban,2.2160317395246674,8.0,3.0490674970000002
"28.074807,-82.498405","27.957258,-82.502422",Urban,8.125557790073545,19.0,9.277690401
"37.704429,-122.124225","37.604193,-122.06711",Urban,7.597755074460623,15.0,11.195241307
"41.323246,-73.757911","41.31077,-73.866938",Urban,5.723122438776431,20.0,8.969490385
"34.834026,-92.292252","34.747628,-92.407305",Urban,8.84618424328763,20.0,14.290290258
"30.258498,-93.114623","30.212961,-93.21866",Urban,6.9619066016799716,13.0,11.136211062000001
"29.337795,-82.082367","29.210629,-82.064285",Suburban,8.853660992039954,17.0,11.404021963000002
"40.19855,-85.509272","40.216938,-85.440667",Urban,3.836567288531731,9.0,5.169185349
"41.47343,-74.53849","41.465761,-74.450202",Suburban,4.601474415082495,12.0,7.4688794199999995
"41.368045,-93.703126","41.373343,-93.555779",Suburban,7.648868130040602,15.0,8.998073451
"21.311063,-157.750269","21.295027,-157.84254",Urban,6.042162537838722,19.0,8.026249207
"39.04444,-95.3947","38.973376,-95.309752",Suburban,6.701433743484197,13.0,9.404450085
"38.816171,-76.786093","38.935972,-76.719829",Urban,9.012251674984691,18.0,12.410642982999999
"27.05384,-82.111667","27.069447,-82.206201",Urban,5.915686416596621,15.0,8.089629049000001
"41.889043,-72.147561","41.745546,-72.16826",Suburban,9.97182625093059,20.0,13.05500471
"44.645875,-90.105056","44.686595,-90.154727",Urban,3.724702092095296,12.0,6.077629751000001
"38.303255,-85.485175","38.300116,-85.545772",Urban,3.292818145034935,9.0,4.191768766
"44.474097,-89.795501","44.35456,-89.814112",Urban,8.31013761364514,19.0,10.559578774
"38.79093,-80.5887","38.70709,-80.664422",Rural,7.08558479703315,15.0,9.626900903000001
