zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
43953,Urban,Steubenville,Ohio,"11,928",Jefferson,"$63,696",505,0.015015015015015,6,40.352418,-80.678099
73570,Rural,Tipton,Oklahoma,945,Tillman,"$42,885",165,0.0049058959950049,2,34.488104,-99.158545
73625,Rural,Butler,Oklahoma,454,Custer,"$66,250",165,0.0049058959950049,2,35.63671,-99.18593
74017,Suburban,Claremore,Oklahoma,"28,272",Rogers,"$59,056",352,0.0104659114560104,4,36.348616,-95.604344
74051,Suburban,Ochelata,Oklahoma,"2,178",Washington,"$64,130",352,0.0104659114560104,4,36.624717,-95.951734
73556,Suburban,Martha,Oklahoma,141,Jackson,"$41,875",352,0.0104659114560104,4,34.72534,-99.38703
74832,Suburban,Carney,Oklahoma,825,Lincoln,"$47,321",352,0.0104659114560104,4,35.804507,-97.028182
74107,Urban,Tulsa,Oklahoma,"19,812",Tulsa,"$49,327",147,0.0043707073410043,2,36.115021,-96.032367
74078,Urban,Stillwater,Oklahoma,352,Payne,,147,0.0043707073410043,2,36.124101,-97.07046
97856,Rural,Long Creek,Oregon,433,Grant,"$38,571",111,0.0033003300330033,1,44.713688,-119.090832
97443,Suburban,Glide,Oregon,"3,052",Douglas,"$70,210",175,0.0052032230250052,2,43.30289,-123.06651
