origin,destination,distance_in_time
"34.44611,-117.85229","33.129612,-117.062391",2 hour 10 mins
"34.44611,-117.85229","33.737428,-117.915362",1 hour 43 mins
"34.44611,-117.85229","38.595884,-121.291214",6 hour 18 mins
"32.733452,-116.957898","37.322401,-121.973234",7 hour 26 mins
"32.733452,-116.957898","32.805378,-117.116368",20 mins
"32.733452,-116.957898","38.048958,-121.37384",7 hour 21 mins
"32.733452,-116.957898","35.208437,-118.828899",4 hour 5 mins
"32.733452,-116.957898","38.888596,-121.292601",8 hour 39 mins
"32.733452,-116.957898","33.819474,-117.908042",1 hour 38 mins
"32.733452,-116.957898","37.947523,-122.384032",7 hour 59 mins
"32.733452,-116.957898","33.913168,-117.865456",2 hour 5 mins
"32.733452,-116.957898","32.631371,-116.96773",18 mins
"32.733452,-116.957898","38.498775,-121.433766",8 hour 7 mins
"32.733452,-116.957898","34.050338,-118.084287",2 hour 11 mins
"32.733452,-116.957898","34.073689,-117.88609",2 hour 2 mins
"32.733452,-116.957898","33.129612,-117.062391",44 mins
"32.733452,-116.957898","33.737428,-117.915362",1 hour 38 mins
"32.733452,-116.957898","38.595884,-121.291214",8 hour 22 mins
"35.779507,-119.200825","37.322401,-121.973234",3 hour 45 mins
"35.779507,-119.200825","32.805378,-117.116368",4 hour 21 mins
"35.779507,-119.200825","38.048958,-121.37384",3 hour 19 mins
"35.779507,-119.200825","35.208437,-118.828899",1 hour 0 mins
"35.779507,-119.200825","38.888596,-121.292601",4 hour 16 mins
"35.779507,-119.200825","33.819474,-117.908042",2 hour 54 mins
"35.779507,-119.200825","37.947523,-122.384032",4 hour 12 mins
"35.779507,-119.200825","33.913168,-117.865456",2 hour 56 mins
"35.779507,-119.200825","32.631371,-116.96773",4 hour 41 mins
"35.779507,-119.200825","38.498775,-121.433766",3 hour 44 mins
"35.779507,-119.200825","34.050338,-118.084287",2 hour 35 mins
"35.779507,-119.200825","34.073689,-117.88609",2 hour 45 mins
"35.779507,-119.200825","33.129612,-117.062391",4 hour 6 mins
"35.779507,-119.200825","33.737428,-117.915362",3 hour 2 mins
"35.779507,-119.200825","38.595884,-121.291214",3 hour 59 mins
"34.66776,-120.11487","37.322401,-121.973234",3 hour 44 mins
"34.66776,-120.11487","32.805378,-117.116368",4 hour 0 mins
"34.66776,-120.11487","38.048958,-121.37384",4 hour 49 mins
"34.66776,-120.11487","35.208437,-118.828899",2 hour 34 mins
"34.66776,-120.11487","38.888596,-121.292601",5 hour 52 mins
"34.66776,-120.11487","33.819474,-117.908042",2 hour 45 mins
"34.66776,-120.11487","37.947523,-122.384032",4 hour 34 mins
"34.66776,-120.11487","33.913168,-117.865456",2 hour 51 mins
"34.66776,-120.11487","32.631371,-116.96773",4 hour 17 mins
"34.66776,-120.11487","38.498775,-121.433766",5 hour 20 mins
"34.66776,-120.11487","34.050338,-118.084287",2 hour 29 mins
"34.66776,-120.11487","34.073689,-117.88609",2 hour 39 mins
"34.66776,-120.11487","33.129612,-117.062391",4 hour 1 mins
"34.66776,-120.11487","33.737428,-117.915362",2 hour 48 mins
"34.66776,-120.11487","38.595884,-121.291214",5 hour 35 mins
